property_type,society,price,price_per_sqft,bedRoom,bathroom,balcony,noOfFloor,facing,agePossession,area,has_builtup_area,locality,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,environment,lifestyle,connectivity,safety,overall_rating,nearby_count,school_count,hospital_count,bank_count,metro_count,ready_to_move,corner_plot,park_facing,freehold,newly_renovated,rental_income,fully_furnished
house,bptp visionnaire,7.875,30232,5,4,3+,3,North-East,New Property,2605.0,0,Sector 70A Gurgaon,0,1,0,0,0,0,33,5.0,4.0,4.0,4.0,4.25,15,3,1,5,0,1,0,0,1,0,0,0
house,independent,8.55,158864,5,4,2,2,Na,Moderately Old,538.0,0,Sector 21A Faridabad,0,1,1,1,0,2,39,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,3.1500000000000004,57381,10,10,3+,5,West,New Property,549.0,0,Sushant Lok Phase 1,0,1,0,0,0,0,14,5.0,5.0,5.0,5.0,5.0,46,1,4,5,2,0,0,0,0,0,1,0
house,independent,7.5,64516,21,21,3+,5,North,Relatively New,1163.0,0,Sector 54 Gurgaon,0,1,0,0,0,1,33,4.0,5.0,4.0,4.0,4.25,44,1,5,12,2,0,0,0,0,0,1,1
house,independent,4.5,80397,12,12,3+,5,West,New Property,560.0,0,Sushant Lok Phase 1,0,0,0,0,1,1,14,5.0,5.0,5.0,5.0,5.0,46,1,4,5,2,0,0,0,0,0,1,1
house,independent,6.75,58607,20,20,3+,4,East,Relatively New,1152.0,0,Sushant Lok Phase 1,0,1,0,0,0,1,14,5.0,5.0,5.0,5.0,5.0,47,1,4,7,1,0,0,0,0,0,0,0
house,emaar mgf marbella,18.0,55557,5,5,3+,3,East,New Property,3240.0,0,Sector 66 Gurgaon,0,1,1,1,0,2,57,3.0,4.0,4.0,4.0,3.75,14,1,1,0,1,1,0,0,0,0,0,0
house,luxury dlf city floors,30.0,66677,16,16,3+,4,Na,New Property,4499.0,0,DLF Phase 1,0,1,0,0,0,2,10,5.0,5.0,5.0,5.0,5.0,47,0,4,11,8,0,0,0,0,0,0,0
house,independent,16.275,57273,6,6,1,3,North-East,Relatively New,2842.0,0,DLF Phase 2,0,0,1,0,0,2,60,5.0,5.0,5.0,5.0,5.0,44,0,1,12,5,1,0,0,1,0,0,0
house,sushant lok 1 builder floors,2.925,15097,3,4,3+,4,West,New Property,1937.0,0,Sushant Lok Phase 1,0,1,0,0,0,2,30,5.0,5.0,5.0,5.0,5.0,46,1,4,5,2,0,0,0,0,0,0,0
