society,price,area,open_sides,possession,locality,nearby_count,school_count,hospital_count,bank_count,metro_count,corner_property,park_facing,freehold,rental_income,ready_to_move,transport_count,environment,lifestyle,connectivity,safety,overall_rating,description_length,contains_corner,contains_freehold,contains_park,contains_north
Central Park Flower Valley Mikasa Plots,5.625,2249.6551,1.0,undefined,Sector-33 Sohna,7,1,1,0,1,0,0,0,0,0,2,4.0,4.0,4.5,4.0,4.25,76.0,0,0,0,0
ROF Insignia Park,3.345,182.9863,1.0,undefined,Sector 93,11,1,1,0,0,0,0,0,0,0,1,4.0,4.0,4.5,4.0,4.25,50.0,0,0,1,0
Adani Brahma Samsara Vilasa,13.125,3078.4754,2.0,undefined,Sector 63 Gurgaon,13,2,1,0,1,0,1,0,0,0,2,4.0,4.0,4.5,4.0,4.25,79.0,0,0,1,1
independent,1.35,452.0838,2.0,Immediate,Sector 22 Gurgaon,32,4,3,4,1,0,0,0,0,1,1,4.0,4.0,5.0,5.0,4.5,60.0,0,0,0,0
independent,1.7999999999999998,1797.5712999999998,2.0,Immediate,Block K1 New Palam Vihar Phase 1,31,2,11,1,1,0,0,1,0,1,5,4.0,4.0,4.5,4.0,4.25,375.0,0,1,0,0
independent,13.5,2690.975,1.0,Immediate,C Block Sushant Lok Phase 1,46,2,4,9,2,0,0,0,0,1,2,4.0,4.0,4.0,4.0,4.0,132.0,0,0,0,0
independent,0.975,990.2788,3.0,Immediate,Pataudi,20,0,15,0,0,0,0,0,0,1,0,4.0,5.0,4.0,5.0,4.5,91.0,0,0,0,0
independent,2.1,2228.1273,1.0,Within_6_months,Devilal Colony,50,1,38,5,0,0,0,0,0,0,0,5.0,5.0,5.0,4.0,4.75,175.0,0,0,0,0
Raheja Akshara,0.8999999999999999,914.9315,1.0,undefined,Phase 1plot No.A29,8,2,1,0,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,104.0,0,0,0,0
independent,1.35,548.9589,2.0,Immediate,Sector 22B Gurgaon,37,2,2,8,0,0,0,0,0,1,0,4.0,4.0,4.0,4.5,4.125,70.0,0,0,0,0
independent,8.850000000000001,2701.7389,3.0,Immediate,Sushant Lok Phase 2,48,0,6,12,3,0,0,0,0,1,3,4.0,4.0,5.0,4.0,4.25,104.0,0,0,0,0
independent,7.5,43561.5033,1.0,Immediate,Sidhrawali,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.5,4.0,4.25,99.0,0,0,0,0
independent,1.2000000000000002,957.9871,1.0,Immediate,Dharam Colony,49,5,17,6,1,0,0,0,0,1,5,4.0,4.0,4.5,4.0,4.125,90.0,0,0,0,0
DLF New Town Heights 13.9 ★,4.35,2249.6551,1.0,undefined,Sector 90 Gurgaon,6,1,1,0,0,0,0,0,0,0,1,4.0,4.0,3.0,5.0,4.0,108.0,0,0,1,0
independent,1.875,538.1949999999999,1.0,Immediate,Sector 38 Gurgaon,47,4,12,7,0,0,0,0,0,1,0,4.0,4.0,5.0,4.0,4.25,214.0,0,0,0,0
BPTP Astaire Gardens3.7 ★,12.0,2604.8638,1.0,undefined,Sector 70a,12,2,0,0,1,0,0,0,0,0,3,5.0,4.0,4.0,4.0,4.25,65.0,0,0,0,0
independent,2.625,742.7090999999999,1.0,Immediate,Sector 42 Gurgaon,44,2,3,13,2,0,0,0,0,1,3,4.0,4.0,4.5,4.0,4.25,102.0,0,0,0,0
Not Applicable,11.25,196021.3829,1.0,Immediate,Laxman Vihar,49,2,29,5,0,0,0,1,0,1,3,4.0,4.0,5.0,4.0,4.25,187.0,0,1,0,0
