property_type,society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,builtup_area_sqft,carpet_area_sqft,Super_Built_up_area,has_super_builtup,has_builtup_area,has_carpet_area,locality,study room,servant room,store room,pooja room,others,luxury_score,environment,lifestyle,connectivity,safety,overall_rating,nearby_count,school_count,hospital_count,bank_count,metro_count,ready_to_move,corner_property,park_facing,freehold,rental_income,fully_furnished,newly_renovated
flat,maa bhagwati residency,0.45,5000.0,900.0,2,2,1,4.0,West,1 to 5 Year Old,894.0218049156085,899.9696789999999,944.0970219758872,0,0,1,Krishna Colony,0,0,0,0,0,5,5.0,5.0,5.0,5.0,5.0,50,1,19,5,0,1,0,0,0,0,0,0
flat,apna enclave,0.5,7692.0,650.0,2,2,1,1.0,West,10+ Year Old,688.068339079919,650.031921,709.3370995711226,0,0,1,Ashok Vihar,0,0,0,0,0,5,5.0,5.0,5.0,5.0,5.0,49,2,14,5,0,0,0,0,0,0,0,0
flat,tulsiani easy in homes,0.4,6722.0,595.0,2,2,3,12.0,Unknown,0 to 1 Year Old,642.7585765960673,595.0283919999999,657.6899166420744,0,0,1,Sohna,0,0,0,0,0,8,5.0,5.0,5.0,5.0,5.0,6,0,0,0,1,0,0,0,0,0,0,0
flat,parkwood westend,0.7,5204.0,1345.0,2,2,3,5.0,Unknown,Under Construction,1260.6189741031358,1164.6409752712311,1344.949305,1,0,0,Sector 92 Gurgaon,1,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,11,0,0,0,0,0,0,1,1,0,0,0
flat,signature global infinity mall,0.41,6269.0,654.0,2,2,3,3.0,Unknown,1 to 5 Year Old,654.014564,608.8902858339006,713.0932583295988,0,1,0,Sector 36 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
flat,signature global city 81,0.96,9767.0,983.0,2,2,2,1.0,Unknown,Under Construction,962.3983555730576,1074.990693,1022.0373162142688,0,0,1,Sector 81 Gurgaon,0,0,0,0,0,8,5.0,5.0,5.0,5.0,5.0,7,1,0,0,0,0,0,0,0,0,0,0
flat,hcbs sports ville3.6 â˜…,0.29,5587.0,519.0,2,2,1,4.0,Unknown,1 to 5 Year Old,580.1487229820177,519.035258,586.3229002310261,0,0,1,Sohna,0,0,0,0,0,7,5.0,5.0,5.0,5.0,5.0,5,0,0,0,0,0,0,0,0,0,0,0
flat,godrej,0.95,6859.0,1385.0,2,2,3+,3.0,South-East,Under Construction,1293.5715286368463,1196.8117821851142,1384.9910129999998,1,0,0,Sector 33 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
flat,shree vardhman flora3.8 â˜…,0.7,5384.0,1300.0,2,2,3,13.0,Unknown,0 to 1 Year Old,1223.547350252712,1128.4488174931128,1299.956203,1,0,0,Sector 90 Gurgaon,1,0,0,0,0,3,5.0,5.0,5.0,5.0,5.0,10,1,1,0,0,1,0,0,0,0,0,0
flat,senate court,0.9,14084.0,639.0,1,1,0,0.0,Unknown,1 to 5 Year Old,639.052743,596.8262332411945,699.007662985313,0,1,0,Sector 62 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,43,1,5,8,0,0,0,1,0,0,0,0
flat,smart world gems,0.86,7796.0,1103.0,2,3,3,4.0,Unknown,Under Construction,1061.2560191741886,970.0075934422384,1102.976833,1,0,0,Sector 89 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,14,1,1,0,1,0,0,0,1,0,0,0
flat,the serenas,0.42,7910.0,531.0,2,2,1,3.0,Unknown,1 to 5 Year Old,590.0344893421308,530.9831869999999,597.5913765064547,0,0,1,Sector 36 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
flat,apex builders,0.42,5600.0,750.0,2,2,2,4.0,North,1 to 5 Year Old,770.4497254141949,750.028552,803.2410685330284,0,0,1,Sector 37C Gurgaon,0,0,0,0,0,7,5.0,5.0,5.0,5.0,5.0,32,0,15,0,0,0,0,1,0,0,0,0
flat,adani aangan arcade,0.45,7194.0,626.0,2,2,1,8.0,Unknown,0 to 1 Year Old,668.2968063596928,625.490229,686.8001470202653,0,0,1,Sector 88A Gurgaon,0,0,0,0,0,3,5.0,5.0,5.0,5.0,5.0,6,1,1,0,0,0,0,0,0,0,0,0
flat,sare green parc,0.85,6538.0,1300.0,3,2,2,20.0,Unknown,1 to 5 Year Old,1299.956203,1128.4488174931128,1319.71289782351,0,1,0,Sector 92 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,50,1,5,8,2,0,0,0,0,0,0,0
flat,shree vardhman flora3.8 â˜…,0.75,5769.0,1300.0,2,2,3,8.0,North-East,1 to 5 Year Old,1223.547350252712,1299.956203,1319.71289782351,0,0,1,Sector 90 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,10,1,1,0,0,0,0,0,0,0,0,0
flat,supertech hues,0.82,6950.0,1180.0,2,2,3+,21.0,Unknown,Under Construction,1124.6896866515808,1031.9363967514632,1180.046357,1,0,0,Sector 68 Gurgaon,0,0,0,0,1,14,5.0,5.0,5.0,5.0,5.0,25,0,6,7,0,0,0,0,1,0,0,0
flat,breez global hill view,0.2999,5403.0,555.0,2,2,2,6.0,North-East,0 to 1 Year Old,609.806022062357,555.0,654.983315,1,0,1,Sohna,0,0,0,0,0,18,5.0,5.0,5.0,5.0,5.0,15,1,1,1,0,0,0,0,0,0,0,0
flat,ild greens4.1 â˜…,0.78,5714.0,1365.0,2,2,3,1.0,North,5 to 10 Year Old,1068.1,900.0,1364.970159,1,1,1,Sector 37C Gurgaon,0,0,0,0,0,18,5.0,5.0,5.0,5.0,5.0,9,1,1,0,0,0,0,0,0,0,0,0
